Start training
episode_301 : 68.80000000000004
episode_302 : 33.6
episode_303 : 14.4
episode_304 : 11.2
episode_305 : 21.799999999999997
episode_306 : 14.4
episode_307 : 18.0
episode_308 : 97.4000000000001
episode_309 : 14.6
episode_310 : 59.60000000000001
episode_311 : 11.8
episode_312 : 102.60000000000007
episode_313 : 20.599999999999994
episode_314 : 24.399999999999995
episode_315 : 55.0
episode_316 : 51.800000000000026
episode_317 : 10.0
episode_318 : 15.6
episode_319 : 27.4
episode_320 : 14.999999999999998
running reward: 34.40 at episode 320, state count 29922
episode_321 : 12.4
episode_322 : 27.4
episode_323 : 72.80000000000003
episode_324 : 16.4
episode_325 : 54.60000000000004
episode_326 : 80.39999999999999
episode_327 : 151.39999999999995
episode_328 : 16.799999999999997
episode_329 : 153.20000000000002
episode_330 : 128.00000000000006
episode_331 : 98.80000000000004
episode_332 : 51.400000000000034
episode_333 : 13.4
episode_334 : 196.59999999999968
episode_335 : 155.79999999999998
episode_336 : 146.8
episode_337 : 58.80000000000003
episode_338 : 173.60000000000002
episode_339 : 96.60000000000005
episode_340 : 129.20000000000013
running reward: 63.06 at episode 340, state count 31602
episode_341 : 160.00000000000006
episode_342 : 116.20000000000006
episode_343 : 138.6000000000001
episode_344 : 78.20000000000003
episode_345 : 106.80000000000004
episode_346 : 78.6
episode_347 : 151.2000000000001
episode_348 : 158.20000000000016
episode_349 : 139.40000000000012
episode_350 : 300.7999999999994
epsilon = 0.1 , state_count = 32890 , episode_count = 301
episode_351 : 209.59999999999965
episode_352 : 171.19999999999985
episode_353 : 159.39999999999998
episode_354 : 229.19999999999948
episode_355 : 166.79999999999998
episode_356 : 230.99999999999952
episode_357 : 61.200000000000024
episode_358 : 126.40000000000012
episode_359 : 131.80000000000013
episode_360 : 37.8
running reward: 91.25 at episode 360, state count 34250
episode_361 : 122.4000000000001
episode_362 : 121.40000000000013
episode_363 : 223.9999999999994
episode_364 : 336.79999999999876
episode_365 : 184.59999999999988
episode_366 : 175.79999999999993
episode_367 : 221.79999999999953
episode_368 : 159.00000000000009
episode_369 : 35.99999999999999
episode_370 : 197.99999999999963
episode_371 : 180.00000000000017
episode_372 : 279.99999999999926
episode_373 : 198.19999999999987
episode_374 : 255.39999999999947
episode_375 : 221.59999999999943
episode_376 : 293.19999999999874
episode_377 : 198.19999999999985
episode_378 : 227.1999999999993
episode_379 : 227.79999999999976
episode_380 : 301.5999999999997
running reward: 120.47 at episode 380, state count 37953
episode_381 : 179.20000000000013
episode_382 : 142.60000000000014
episode_383 : 171.40000000000015
episode_384 : 145.60000000000014
episode_385 : 65.80000000000001
episode_386 : 157.80000000000007
episode_387 : 152.60000000000014
episode_388 : 182.19999999999987
episode_389 : 206.3999999999998
episode_390 : 162.60000000000005
episode_391 : 281.5999999999993
episode_392 : 119.60000000000011
episode_393 : 147.00000000000006
episode_394 : 45.40000000000001
episode_395 : 155.99999999999997
episode_396 : 166.20000000000005
episode_397 : 137.20000000000016
episode_398 : 163.8000000000002
episode_399 : 148.8
episode_400 : 234.19999999999956
running reward: 128.04 at episode 400, state count 40774
epsilon = 0.1 , state_count = 40774 , episode_count = 301
episode_401 : 125.20000000000007
episode_402 : 53.40000000000002
episode_403 : 258.9999999999992
episode_404 : 95.60000000000001
episode_405 : 53.20000000000002
episode_406 : 43.000000000000014
episode_407 : 60.000000000000014
episode_408 : 118.80000000000005
episode_409 : 31.399999999999995
episode_410 : 29.399999999999995
episode_411 : 81.20000000000002
episode_412 : 45.0
episode_413 : 166.00000000000006
episode_414 : 71.79999999999998
episode_415 : 113.20000000000006
episode_416 : 149.2000000000002
episode_417 : 78.80000000000004
episode_418 : 66.40000000000003
episode_419 : 57.60000000000001
episode_420 : 18.4
running reward: 138.32 at episode 420, state count 42353
episode_421 : 55.20000000000003
episode_422 : 12.2
episode_423 : 46.40000000000001
episode_424 : 12.8
episode_425 : 64.60000000000002
episode_426 : 13.2
episode_427 : 67.80000000000001
episode_428 : 70.4
episode_429 : 11.0
episode_430 : 55.80000000000001
episode_431 : 70.80000000000003
episode_432 : 17.4
episode_433 : 24.6
episode_434 : 120.20000000000009
episode_435 : 137.00000000000006
episode_436 : 59.2
episode_437 : 65.80000000000003
episode_438 : 61.80000000000001
episode_439 : 13.0
episode_440 : 56.80000000000001
running reward: 130.34 at episode 440, state count 43309
episode_441 : 130.4000000000001
episode_442 : 12.2
episode_443 : 62.60000000000001
episode_444 : 104.60000000000012
episode_445 : 13.0
episode_446 : 14.2
episode_447 : 72.60000000000002
episode_448 : 13.2
episode_449 : 232.9999999999997
episode_450 : 84.40000000000002
epsilon = 0.1 , state_count = 43980 , episode_count = 301
episode_451 : 36.19999999999999
episode_452 : 41.80000000000001
episode_453 : 16.4
episode_454 : 46.80000000000001
episode_455 : 32.199999999999996
episode_456 : 60.20000000000003
episode_457 : 68.80000000000001
episode_458 : 135.20000000000007
episode_459 : 83.40000000000006
episode_460 : 61.00000000000001
running reward: 114.04 at episode 460, state count 44508
episode_461 : 13.2
episode_462 : 13.4
episode_463 : 97.60000000000007
episode_464 : 126.20000000000017
episode_465 : 173.99999999999986
episode_466 : 36.599999999999994
episode_467 : 115.40000000000012
episode_468 : 16.4
episode_469 : 143.20000000000022
episode_470 : 122.20000000000013
episode_471 : 174.59999999999988
episode_472 : 248.79999999999967
episode_473 : 178.00000000000006
episode_474 : 100.6000000000001
episode_475 : 38.4
episode_476 : 144.20000000000005
episode_477 : 107.20000000000009
episode_478 : 39.39999999999999
episode_479 : 19.4
episode_480 : 80.20000000000005
running reward: 92.30 at episode 480, state count 46282
episode_481 : 34.39999999999999
episode_482 : 29.599999999999998
episode_483 : 272.9999999999992
episode_484 : 193.79999999999973
episode_485 : 207.39999999999955
episode_486 : 204.19999999999968
